Command,Arg1,Arg2,Arg3,Arg4,Arg5,Arg6,WaitType,Text,PageCtrl,Voice,WindowType,English
,【ED③  クリアタイムが早かった場合】,,,,,,,,,,,
Bg,307_shadow,0.5,,,,,,,,,,
Text,,20,100,,,,,はぁ…はぁ……,,,,
Text,,20,100,,,,,息を切らしながらも、辺りを見渡して友人の姿を探した。,,,,
Text,,20,100,,,,,…！！あそこにいるのは…！,,,,
Text,,20,100,,,,,見覚えのある人影を見つけ、すぐさま駆け寄った。,,,,
Bg,307_normal,0.5,,,,,,,,,,
Text,,20,100,,,,,おい！何してるんだよ！,,,,
Bg,307_surprise,0.5,,,,,,,instant,,,
Text,,20,100,,,,,うおっ、ビックリした！なんだよ〜！お前もここにいたのかよ！教えてくれたら良かったのに！,,,,
Text,,20,100,,,,,いいから早く降りるぞ！急げ！,,,,
Bg,307_smile,0.5,,,,,,,instant,,,
Text,,20,100,,,,,え？何かあったのか？まだ山菜採りたいんだけど…,,,,
Text,,20,100,,,,,そんな事言ってる場合か！とにかく急ぐんだ！,,,,
Bg,307_surprise,0.5,,,,,,,instant,,,
Text,,20,100,,,,,うわわっ、ちょっ！手ぇ引っ張んなって！,,,,
Bg,302,1,,,,,,,,,,
Text,,20,100,,,,,…こうして俺たちは、無事に山を降りた。,,,,
Text,,20,100,,,,,どうして何の変哲もないあの山に、あんな怪異がいたのかは俺にも分からない。,,,,
Text,,20,100,,,,,一体…何故なんだろうか…？,,,,
